date,games,correct_games,daily_accuracy_pct,cum_games,cum_correct_games,cumulative_accuracy_pct
2026-04-12,15,5,33.333333333333336,15,5,33.333333333333336
2026-04-13,8,6,75.0,23,11,47.82608695652174
2026-04-14,12,6,50.0,35,17,48.57142857142857
2026-04-15,12,7,58.333333333333336,47,24,51.06382978723404
2026-04-16,10,4,40.0,57,28,49.12280701754386
2026-04-17,11,5,45.45454545454545,68,33,48.529411764705884
2026-04-18,14,8,57.142857142857146,82,41,50.0
2026-04-19,15,8,53.333333333333336,97,49,50.51546391752577
2026-04-20,8,4,50.0,105,53,50.476190476190474
2026-04-21,11,5,45.45454545454545,116,58,50.0
2026-04-22,14,9,64.28571428571429,130,67,51.53846153846154
2026-04-23,9,4,44.44444444444444,139,71,51.07913669064748
2026-04-24,12,7,58.333333333333336,151,78,51.65562913907285
2026-04-25,14,7,50.0,165,85,51.515151515151516
2026-04-26,16,9,56.25,181,94,51.93370165745856
2026-04-27,5,1,20.0,186,95,51.075268817204304
2026-04-28,12,8,66.66666666666667,198,103,52.02020202020202
2026-04-29,12,5,41.666666666666664,210,108,51.42857142857143
2026-04-30,11,6,54.54545454545455,221,114,51.58371040723982
2026-05-01,11,8,72.72727272727273,232,122,52.58620689655172
2026-05-02,13,9,69.23076923076923,245,131,53.46938775510204
2026-05-03,15,8,53.333333333333336,260,139,53.46153846153846
2026-05-04,11,7,63.63636363636363,271,146,53.874538745387454
2026-05-05,9,5,55.55555555555556,280,151,53.92857142857143
2026-05-06,14,7,50.0,294,158,53.74149659863946
2026-05-07,9,5,55.55555555555556,303,163,53.79537953795379
2026-05-08,11,5,45.45454545454545,314,168,53.503184713375795
2026-05-09,13,5,38.46153846153846,327,173,52.90519877675841
2026-05-10,15,7,46.666666666666664,342,180,52.63157894736842
2026-05-11,5,2,40.0,347,182,52.44956772334294
2026-05-12,13,9,69.23076923076923,360,191,53.05555555555556
2026-05-13,13,7,53.84615384615385,373,198,53.083109919571044
2026-05-14,10,6,60.0,383,204,53.26370757180157
2026-05-15,12,8,66.66666666666667,395,212,53.67088607594937
