date,all_games,all_correct_games,all_daily_accuracy_pct,all_cum_games,all_cum_correct_games,all_cumulative_accuracy_pct,green_games,green_correct_games,green_daily_accuracy_pct,green_cum_games,green_cum_correct_games,green_cumulative_accuracy_pct
2026-09-16,15,7,46.666666666666664,15,7,46.666666666666664,11,5,45.45454545454545,11,5,45.45454545454545
2026-09-17,9,7,77.77777777777777,24,14,58.333333333333336,8,7,87.5,19,12,63.1578947368421
2026-09-18,15,9,60.0,39,23,58.97435897435897,10,6,60.0,29,18,62.06896551724138
2026-09-19,15,12,80.0,54,35,64.81481481481481,10,8,80.0,39,26,66.66666666666667
2026-09-20,15,10,66.66666666666667,69,45,65.21739130434783,8,7,87.5,47,33,70.2127659574468
2026-09-21,3,3,100.0,72,48,66.66666666666667,1,1,100.0,48,34,70.83333333333333
2026-09-22,15,7,46.666666666666664,87,55,63.2183908045977,6,3,50.0,54,37,68.51851851851852
2026-09-23,16,11,68.75,103,66,64.07766990291262,6,2,33.333333333333336,60,39,65.0
2026-09-24,12,5,41.666666666666664,115,71,61.73913043478261,9,5,55.55555555555556,69,44,63.768115942028984
2026-09-25,17,13,76.47058823529412,132,84,63.63636363636363,10,8,80.0,79,52,65.82278481012658
