date,bets,wins,daily_profit_loss,daily_staked,losses,daily_win_rate_pct,daily_roi_pct,cumulative_bets,cumulative_wins,cumulative_staked,cumulative_profit_loss,cumulative_roi_pct
2026-08-24,6,2,-186.71,600.0,4,33.333333333333336,-31.118333333333332,6,2,600.0,-186.71,-31.118333333333332
2026-08-25,15,6,-332.08,1500.0,9,40.0,-22.138666666666666,21,8,2100.0,-518.79,-24.704285714285714
2026-08-26,15,8,5.090000000000018,1500.0,7,53.333333333333336,0.3393333333333345,36,16,3600.0,-513.6999999999999,-14.269444444444442
2026-08-27,7,3,-130.5,700.0,4,42.857142857142854,-18.642857142857142,43,19,4300.0,-644.1999999999999,-14.981395348837207
2026-08-28,15,10,273.5,1500.0,5,66.66666666666667,18.233333333333334,58,29,5800.0,-370.69999999999993,-6.391379310344826
2026-08-29,17,11,55.349999999999994,1700.0,6,64.70588235294117,3.255882352941176,75,40,7500.0,-315.3499999999999,-4.204666666666665
2026-08-30,14,8,-80.69000000000003,1400.0,6,57.142857142857146,-5.763571428571431,89,48,8900.0,-396.03999999999996,-4.449887640449438
2026-08-31,12,7,29.769999999999982,1200.0,5,58.333333333333336,2.4808333333333317,101,55,10100.0,-366.27,-3.6264356435643563
2026-09-01,15,6,-468.97999999999996,1500.0,9,40.0,-31.265333333333327,116,61,11600.0,-835.25,-7.200431034482759
2026-09-02,15,6,-375.27,1500.0,9,40.0,-25.018,131,67,13100.0,-1210.52,-9.240610687022901
2026-09-03,9,5,-70.39,900.0,4,55.55555555555556,-7.821111111111111,140,72,14000.0,-1280.91,-9.149357142857143
2026-09-04,16,11,317.27,1600.0,5,68.75,19.829375,156,83,15600.0,-963.6400000000001,-6.1771794871794885
2026-09-05,15,5,-591.37,1500.0,10,33.333333333333336,-39.42466666666667,171,88,17100.0,-1555.0100000000002,-9.093625730994153
2026-09-06,15,8,-164.52000000000004,1500.0,7,53.333333333333336,-10.968000000000002,186,96,18600.0,-1719.5300000000002,-9.24478494623656
2026-09-07,11,8,262.48,1100.0,3,72.72727272727273,23.861818181818183,197,104,19700.0,-1457.0500000000002,-7.396192893401016
2026-09-08,15,9,17.549999999999997,1500.0,6,60.0,1.17,212,113,21200.0,-1439.5000000000002,-6.790094339622643
2026-09-09,15,10,206.95,1500.0,5,66.66666666666667,13.796666666666667,227,123,22700.0,-1232.5500000000002,-5.429735682819384
2026-09-10,5,3,-7.019999999999996,500.0,2,60.0,-1.403999999999999,232,126,23200.0,-1239.5700000000002,-5.342974137931035
2026-09-11,15,11,306.83,1500.0,4,73.33333333333333,20.455333333333332,247,137,24700.0,-932.7400000000002,-3.7762753036437258
2026-09-12,15,8,-152.96,1500.0,7,53.333333333333336,-10.197333333333333,262,145,26200.0,-1085.7000000000003,-4.143893129770993
