date,bets,wins,daily_profit_loss,daily_staked,losses,daily_win_rate_pct,daily_roi_pct,cumulative_bets,cumulative_wins,cumulative_staked,cumulative_profit_loss,cumulative_roi_pct
2026-08-24,6,2,-265.28,600.0,4,33.333333333333336,-44.213333333333324,6,2,600.0,-265.28,-44.213333333333324
2026-08-25,15,5,-504.56,1500.0,10,33.333333333333336,-33.63733333333333,21,7,2100.0,-769.8399999999999,-36.65904761904761
2026-08-26,15,8,-55.51999999999998,1500.0,7,53.333333333333336,-3.701333333333332,36,15,3600.0,-825.3599999999999,-22.926666666666662
2026-08-27,7,4,22.169999999999987,700.0,3,57.142857142857146,3.167142857142855,43,19,4300.0,-803.1899999999999,-18.678837209302326
2026-08-28,15,8,2921.2200000000003,1500.0,7,53.333333333333336,194.748,58,27,5800.0,2118.03,36.51775862068966
2026-08-29,17,9,-226.51999999999998,1700.0,8,52.94117647058823,-13.32470588235294,75,36,7500.0,1891.5100000000002,25.220133333333337
2026-08-30,14,10,341.30999999999995,1400.0,4,71.42857142857143,24.379285714285707,89,46,8900.0,2232.82,25.08786516853933
2026-08-31,12,6,-149.99,1200.0,6,50.0,-12.499166666666667,101,52,10100.0,2082.83,20.62207920792079
2026-09-01,15,6,-375.44,1500.0,9,40.0,-25.029333333333334,116,58,11600.0,1707.3899999999999,14.718879310344828
2026-09-02,15,9,243.35,1500.0,6,60.0,16.223333333333333,131,67,13100.0,1950.7399999999998,14.891145038167936
2026-09-03,9,4,-121.16,900.0,5,44.44444444444444,-13.462222222222222,140,71,14000.0,1829.5799999999997,13.06842857142857
2026-09-04,16,10,101.82000000000002,1600.0,6,62.5,6.363750000000001,156,81,15600.0,1931.3999999999996,12.380769230769229
2026-09-05,15,9,203.46999999999997,1500.0,6,60.0,13.564666666666664,171,90,17100.0,2134.8699999999994,12.484619883040931
2026-09-06,15,8,-131.91000000000003,1500.0,7,53.333333333333336,-8.794,186,98,18600.0,2002.9599999999994,10.768602150537632
2026-09-07,11,5,-231.99,1100.0,6,45.45454545454545,-21.09,197,103,19700.0,1770.9699999999993,8.989695431472079
2026-09-08,15,10,313.11,1500.0,5,66.66666666666667,20.874,212,113,21200.0,2084.0799999999995,9.830566037735846
2026-09-09,15,11,475.22,1500.0,4,73.33333333333333,31.681333333333335,227,124,22700.0,2559.2999999999993,11.274449339207045
2026-09-10,5,2,-177.56,500.0,3,40.0,-35.512,232,126,23200.0,2381.7399999999993,10.26612068965517
