date,bets,wins,daily_profit_loss,daily_staked,losses,daily_win_rate_pct,daily_roi_pct,cumulative_bets,cumulative_wins,cumulative_staked,cumulative_profit_loss,cumulative_roi_pct
2026-09-16,1,0,-100.0,100.0,1,0.0,-100.0,1,0,100.0,-100.0,-100.0
2026-09-17,8,7,436.04999999999995,800.0,1,87.5,54.506249999999994,9,7,900.0,336.04999999999995,37.33888888888888
2026-09-18,10,6,-47.400000000000006,1000.0,4,60.0,-4.740000000000001,19,13,1900.0,288.65,15.192105263157893
2026-09-19,10,8,457.21999999999997,1000.0,2,80.0,45.722,29,21,2900.0,745.8699999999999,25.719655172413788
2026-09-20,8,7,297.02,800.0,1,87.5,37.1275,37,28,3700.0,1042.8899999999999,28.186216216216213
2026-09-21,1,1,64.1,100.0,0,100.0,64.1,38,29,3800.0,1106.9899999999998,29.13131578947368
2026-09-22,6,3,-74.19,600.0,3,50.0,-12.365,44,32,4400.0,1032.7999999999997,23.472727272727266
2026-09-23,6,2,-288.32,600.0,4,33.333333333333336,-48.053333333333335,50,34,5000.0,744.4799999999998,14.889599999999998
2026-09-24,9,4,-261.5,900.0,5,44.44444444444444,-29.055555555555557,59,38,5900.0,482.9799999999998,8.186101694915251
2026-09-25,10,8,410.11,1000.0,2,80.0,41.011,69,46,6900.0,893.0899999999998,12.943333333333332
