date,bets,wins,daily_profit_loss,daily_staked,losses,daily_win_rate_pct,daily_roi_pct,cumulative_bets,cumulative_wins,cumulative_staked,cumulative_profit_loss,cumulative_roi_pct
2026-09-16,2,0,-200.0,200.0,2,0.0,-100.0,2,0,200.0,-200.0,-100.0
2026-09-17,9,7,338.34,900.0,2,77.77777777777777,37.593333333333334,11,7,1100.0,138.33999999999997,12.576363636363634
2026-09-18,15,7,-393.64,1500.0,8,46.666666666666664,-26.24266666666667,26,14,2600.0,-255.3,-9.819230769230769
2026-09-19,15,12,629.77,1500.0,3,80.0,41.98466666666667,41,26,4100.0,374.46999999999997,9.133414634146341
2026-09-20,15,10,178.23999999999998,1500.0,5,66.66666666666667,11.882666666666664,56,36,5600.0,552.7099999999999,9.869821428571427
2026-09-21,3,2,64.1,300.0,1,66.66666666666667,21.366666666666664,59,38,5900.0,616.81,10.454406779661015
2026-09-22,15,6,-408.86,1500.0,9,40.0,-27.25733333333333,74,44,7400.0,207.94999999999993,2.810135135135134
2026-09-23,16,9,-61.84,1600.0,7,56.25,-3.865,90,53,9000.0,146.10999999999993,1.6234444444444436
2026-09-24,12,5,-399.77000000000004,1200.0,7,41.666666666666664,-33.31416666666667,102,58,10200.0,-253.6600000000001,-2.4868627450980405
2026-09-25,17,12,485.15999999999997,1700.0,5,70.58823529411765,28.538823529411765,119,70,11900.0,231.49999999999986,1.945378151260503
